notification_id,user_id,title,message,is_read
5642e640-288a-4d1a-b85a-73821028e229,138b19df-c988-43e7-951c-fb9dda52f167,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account farmer.anand.48@agrilink.in.,True
a396646f-3de1-4030-bf20-dad131b48e0d,c96c2cf9-9234-449a-b8ff-c258c54bafe8,Farmer Direct Payout Credited,AgriLink North Bengaluru update for account farmer.siddarama.120@agrilink.in.,True
ecd4198d-71bd-48cc-b719-bfd89bad1134,ae491d58-901e-435a-a3c5-8907946a316a,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account ops.sunitha.12@agrilink.in.,True
66a921b4-de14-4bc5-a487-2fc26f89bd4d,927b542f-e3cb-44d5-8807-ec8b5f2e6a33,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account hub.girish.8@agrilink.in.,False
c2a4bd53-4853-4ffa-985a-d47e6cbdb02c,d5df2476-d0c5-4b34-8270-f16a2efe1c2d,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account farmer.sowmya.75@agrilink.in.,True
a73c89b7-c20d-449e-8c2d-b0bae11321ba,d665519c-efa0-4b46-a855-c0c107bd9c6a,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account buyer.venkatesh.77@gmail.com.,True
174072bf-2171-49d8-a84b-6bfed4baf31b,68f4e697-d0d1-4fd0-ae20-9d77ab7abace,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account hub.aditya.25@agrilink.in.,True
6b349b21-2f4f-4812-8209-284c72c5441d,f343ebb2-5f9d-47c3-b022-adfd5d61f8dc,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account farmer.priya.148@agrilink.in.,True
8d92b822-d942-4e88-b0a0-5a329b69b1cb,dbcf0c2f-3004-49ce-bf95-1550c645dc5d,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account farmer.varun.36@agrilink.in.,False
4fa737ec-b6ca-480a-b18e-f5ae8fa3b30e,8c76bf64-85e5-4a66-bc5c-3ee841c461b1,Farmer Direct Payout Credited,AgriLink North Bengaluru update for account farmer.bharath.133@agrilink.in.,True
79a4741a-dc18-4460-bcbe-5c3c5b99711a,cd6a617b-fffe-4ae6-ad14-9a9164c88f07,Yelahanka Hub Order Dispatched,AgriLink North Bengaluru update for account farmer.gautam.70@agrilink.in.,True
0a69f345-3d85-468a-b62c-cca52b7675c2,8166097f-4ebd-4bb8-bb8c-1dec6fafbafd,Farmer Direct Payout Credited,AgriLink North Bengaluru update for account buyer.suresh.81@gmail.com.,True
cd0e4596-72c6-44d9-92e6-442b7b109424,7a0af83e-e0b5-4477-bd53-9d969410d866,Yelahanka Hub Order Dispatched,AgriLink North Bengaluru update for account hub.vinay.12@agrilink.in.,True
88824a1a-fb96-4939-8401-2067098ce145,3eff24e9-8e84-4950-8b7f-cd6c5cfc6d1c,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account buyer.neha.75@gmail.com.,False
fc56a297-df78-4bfb-89f6-540511ebb923,667d6422-96b9-454f-8f84-7e32c382165c,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account buyer.neha.74@gmail.com.,True
cf4af934-158c-4191-8aef-b8f4e26d2bbb,83d1914a-989e-4f20-b4af-a763211f5b27,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account farmer.rakshith.88@agrilink.in.,True
54615d76-b214-4698-8af0-d705c54f4209,995836e8-8959-476b-9cfb-f1d040e62750,Mandi Price Update for North Bengaluru,AgriLink North Bengaluru update for account farmer.chandrashekar.132@agrilink.in.,True
5457722a-f397-4e0c-afa9-2ef3a96c1872,593749dd-d60e-4233-9255-f4f4460358ca,Manyata Tech Park Express Slot Available,AgriLink North Bengaluru update for account buyer.vinay.64@gmail.com.,False
4c5fdd81-057f-4582-9979-02de3b3c370e,1b1d3222-54b9-4f9f-980a-8c12453f7c67,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account buyer.sunitha.92@gmail.com.,True
378bf22c-6b5a-4617-9ac7-d5a2b2f68583,c46e1796-7099-4bca-b49e-d75a46aa7392,Manyata Tech Park Express Slot Available,AgriLink North Bengaluru update for account farmer.pooja.96@agrilink.in.,True
c1175b9a-67b9-44a7-a437-e31ac50986b2,95545331-ca94-41b7-8594-e495117705a0,Farmer Direct Payout Credited,AgriLink North Bengaluru update for account farmer.venkatesh.43@agrilink.in.,True
4141e6d9-afde-4c0d-87e5-9f9b03f35802,4ebc16aa-3544-450a-8fa2-d85a2b989e22,North BLR Morning Harvest In Stock,AgriLink North Bengaluru update for account buyer.chandrashekar.56@gmail.com.,True
0fbda0b9-8b2c-4899-95dc-f54968dfc0c5,95545331-ca94-41b7-8594-e495117705a0,Yelahanka Hub Order Dispatched,AgriLink North Bengaluru update for account farmer.venkatesh.43@agrilink.in.,True
