user_id,role_id,location_id,email,phone,full_name,is_active
b0c8c6d2-b5b9-4390-bee5-50c84875728f,11111111-1111-1111-1111-111111111111,78fa4c76-acf7-4e60-a1dc-6a9277ff8117,farmer.siddarama.0@agrilink.in,+919880027662,Siddarama Chari (Farmer),True
06b2bfe7-297e-4465-8971-0f7a01b8c2b8,11111111-1111-1111-1111-111111111111,d076e2de-7226-41b6-b029-6e824fece7af,farmer.karthik.1@agrilink.in,+919846023439,Karthik Chari (Farmer),True
a37e1fa0-e1f2-4894-bde6-498c3e74e624,11111111-1111-1111-1111-111111111111,1f24f593-351b-4d64-856c-3bc3979d4288,farmer.roopa.2@agrilink.in,+919886483924,Roopa Kumar (Farmer),True
6eaffc12-b816-45de-8c23-53b70bc504d7,11111111-1111-1111-1111-111111111111,cc856c7e-4e1e-489e-b84b-5402bd7830c6,farmer.chandrashekar.3@agrilink.in,+919875437844,Chandrashekar Prasad (Farmer),True
31e8a823-9f9d-4f0b-8ef0-1a1def6ebf2a,11111111-1111-1111-1111-111111111111,4edd7a55-2f1d-4918-945a-f2dea14e26bf,farmer.pooja.4@agrilink.in,+919811362459,Pooja Murthy (Farmer),True
f40b156c-faf1-4086-880a-ac5442f53416,11111111-1111-1111-1111-111111111111,4edd7a55-2f1d-4918-945a-f2dea14e26bf,farmer.arjun.5@agrilink.in,+919842255732,Arjun Deshpande (Farmer),True
280c741f-8071-4824-8dc1-fb296bac2220,11111111-1111-1111-1111-111111111111,becb3e94-fdc2-4b85-928f-958b8b5651ee,farmer.venkatesh.6@agrilink.in,+919864277800,Venkatesh Naik (Farmer),True
11d257ed-3c00-4188-9366-1077198a55dc,11111111-1111-1111-1111-111111111111,bf99d3de-1ed1-411b-abeb-a13fcd4ea12f,farmer.aditya.7@agrilink.in,+919867110154,Aditya Pujari (Farmer),True
254283c9-e3f9-4eba-acfb-4194205ca575,11111111-1111-1111-1111-111111111111,86424574-c428-4c73-8670-33f1dc2ccb9d,farmer.karthik.8@agrilink.in,+919843742830,Karthik Murthy (Farmer),True
55b38320-7a93-4544-a83f-fcd5733cc57e,11111111-1111-1111-1111-111111111111,b50ecb97-8306-451b-9c38-4ce6c1e70e1f,farmer.sneha.9@agrilink.in,+919839042654,Sneha Shetty (Farmer),True
908ad311-c275-40f6-8437-55f8a2853147,11111111-1111-1111-1111-111111111111,dec3ce49-0d61-49e8-a64f-7eebede5920f,farmer.pavitra.10@agrilink.in,+919840532273,Pavitra Rao (Farmer),True
ef9ac141-549f-413a-8676-22702ec1ce11,11111111-1111-1111-1111-111111111111,7cfa432f-b2ab-4cec-bff6-9bef1020bce0,farmer.prajwal.11@agrilink.in,+919884270583,Prajwal Reddy (Farmer),True
d452a14f-2ef3-4c26-8ab6-9a8ecd1a28a3,11111111-1111-1111-1111-111111111111,70aafad3-0912-413e-b7c3-3f1705db0bbd,farmer.ramesh.12@agrilink.in,+919873001391,Ramesh Sharma (Farmer),True
8615918e-0367-4f8d-b23b-5d33b313d851,11111111-1111-1111-1111-111111111111,1c3df6d9-543c-467d-b533-51c7b5d5a12d,farmer.gowramma.13@agrilink.in,+919818770247,Gowramma Deshpande (Farmer),True
adc8cc83-49af-446e-ac88-74f36ebd5673,11111111-1111-1111-1111-111111111111,a2eb05d0-5cf3-4214-ab74-cdadb28ec72a,farmer.siddarama.14@agrilink.in,+919821432787,Siddarama Sharma (Farmer),True
7bc1166d-a3ac-4d86-b859-09ffea7e145a,11111111-1111-1111-1111-111111111111,f44e8579-efb7-4262-b71c-04db86dbf3c8,farmer.pooja.15@agrilink.in,+919861053474,Pooja Kumar (Farmer),True
f0567104-3984-4f39-b1e2-e98e4f20526f,11111111-1111-1111-1111-111111111111,1031e818-9276-403b-8205-c044c508c560,farmer.rakshith.16@agrilink.in,+919818083974,Rakshith Sharma (Farmer),True
fa4ecde6-8f23-48a0-97cf-c78a9da48b51,11111111-1111-1111-1111-111111111111,1c76eb5f-e20d-46b5-a6dc-9bb1a9c5b578,farmer.gowramma.17@agrilink.in,+919842194159,Gowramma Patil (Farmer),True
ea8f3676-1ce0-4db9-9f99-a4faf09a7f82,11111111-1111-1111-1111-111111111111,708e1b09-4951-4ff8-bc7b-7d9a287bd232,farmer.arjun.18@agrilink.in,+919873070585,Arjun Kulkarni (Farmer),True
28f543b4-2918-4d77-bca8-7fee833a8157,11111111-1111-1111-1111-111111111111,47d83015-f301-4f72-bf9f-54e67271bb0e,farmer.karthik.19@agrilink.in,+919845507920,Karthik Patil (Farmer),True
acab5e5a-cfef-4c13-89b1-0fa1c4ad89ca,11111111-1111-1111-1111-111111111111,44f8fbd8-8b07-4ac7-9fb6-b74ff9e66aff,farmer.girish.20@agrilink.in,+919896924061,Girish Verma (Farmer),True
b3084ea0-8618-4bd8-86f6-8ebe482d44cd,11111111-1111-1111-1111-111111111111,86424574-c428-4c73-8670-33f1dc2ccb9d,farmer.lakshmi.21@agrilink.in,+919889865458,Lakshmi Shetty (Farmer),True
c6516e97-1794-4415-8b3f-2dc3fe0c93cd,11111111-1111-1111-1111-111111111111,a2eb05d0-5cf3-4214-ab74-cdadb28ec72a,farmer.girish.22@agrilink.in,+919864023778,Girish Kulkarni (Farmer),True
a22e6049-6f99-43f8-93f5-4d4e5e1ce7a8,11111111-1111-1111-1111-111111111111,edf14343-3f2e-41ef-bcd4-13680ed9d02b,farmer.roopa.23@agrilink.in,+919815350023,Roopa Patil (Farmer),True
592c2557-856b-46b5-988a-648acb62be18,11111111-1111-1111-1111-111111111111,6580fb82-e039-4fcf-84b9-11c24a335943,farmer.venkatesh.24@agrilink.in,+919888802305,Venkatesh Kumar (Farmer),True
4c2f58be-a9b8-4746-aed0-60a86540795c,11111111-1111-1111-1111-111111111111,cbf86a02-2627-4dc0-940c-18ae843db38a,farmer.vinay.25@agrilink.in,+919847333543,Vinay Pujari (Farmer),True
ecbda645-51db-4dcb-9b56-f473f81cbefc,11111111-1111-1111-1111-111111111111,ae086853-f6dc-4eb2-aec6-2495c12ea70d,farmer.venkatesh.26@agrilink.in,+919864807553,Venkatesh Deshpande (Farmer),True
b7a99d39-8f91-427b-a3ff-801cacfaf90e,11111111-1111-1111-1111-111111111111,b9b42a0d-3ca5-4969-87b8-94668c56dfb1,farmer.arjun.27@agrilink.in,+919898930456,Arjun Deshpande (Farmer),True
2daa9085-acae-4ab6-baca-dd0433dd998b,11111111-1111-1111-1111-111111111111,933a9969-a512-40a6-8608-f74012fbd450,farmer.venkatesh.28@agrilink.in,+919853389073,Venkatesh Prasad (Farmer),True
8dd8eee8-92a8-40d5-808e-c22377a7a8e1,11111111-1111-1111-1111-111111111111,7e80b53a-d3d4-43be-85e3-5602b12e1fe5,farmer.sneha.29@agrilink.in,+919817275149,Sneha Kulkarni (Farmer),True
3bb8cb03-9947-4bfa-bb4e-0efbad40b9ee,11111111-1111-1111-1111-111111111111,fcaeb8d2-d830-495d-a050-4ebbedaec2ef,farmer.lakshmi.30@agrilink.in,+919883715012,Lakshmi Rao (Farmer),True
bbc80609-7b21-4e43-9c2b-b645e36980fc,11111111-1111-1111-1111-111111111111,09e169fd-18f2-4e4b-99e5-9ed533ff3976,farmer.girish.31@agrilink.in,+919842117961,Girish Gowda (Farmer),True
b5b2acc4-c5f6-41f8-8aaa-1ec5b30860df,11111111-1111-1111-1111-111111111111,ce9611b0-871a-43e3-a969-95d2c3d3f594,farmer.aditya.32@agrilink.in,+919840158811,Aditya Chari (Farmer),True
7aa8c827-7f78-498e-b07f-3ae4780f1aff,11111111-1111-1111-1111-111111111111,c7146e3a-e7bc-4fd2-a32a-b3c65ec3f796,farmer.siddarama.33@agrilink.in,+919878299645,Siddarama Deshpande (Farmer),True
c59c0e86-2e5e-4533-afd5-034831c96b6d,11111111-1111-1111-1111-111111111111,6925b4a4-55d7-4449-b437-471cd7eef24b,farmer.sunitha.34@agrilink.in,+919829413516,Sunitha Kulkarni (Farmer),True
2033c4c9-3c1c-46fa-847b-c2003ded93a5,11111111-1111-1111-1111-111111111111,12d86daa-2a90-4421-b2cb-cfe7366deff1,farmer.prajwal.35@agrilink.in,+919878147397,Prajwal Chari (Farmer),True
dbcf0c2f-3004-49ce-bf95-1550c645dc5d,11111111-1111-1111-1111-111111111111,b415ff1d-f34c-4e0e-960f-bd11d3550b03,farmer.varun.36@agrilink.in,+919829944139,Varun Sharma (Farmer),True
fc61e551-39b0-4e1c-a738-4f95b724685a,11111111-1111-1111-1111-111111111111,d4bea6fa-ee4f-459e-a945-d73c421c6c88,farmer.aditya.37@agrilink.in,+919871115319,Aditya Verma (Farmer),True
b19bcc70-749e-4adf-bb35-2ec2d063f5ab,11111111-1111-1111-1111-111111111111,4e27a5e5-72bb-4abd-acd7-e544ad672ac3,farmer.chetan.38@agrilink.in,+919852704903,Chetan Chari (Farmer),True
1b7e0ffb-2f3d-4092-9254-2174e49ad47d,11111111-1111-1111-1111-111111111111,e0196e41-ba19-4d13-8df4-6760cebe8bbf,farmer.chandrashekar.39@agrilink.in,+919877416376,Chandrashekar Reddy (Farmer),True
94e91b9f-e0f3-4dbc-a22a-fb492b9bbed5,11111111-1111-1111-1111-111111111111,5254d15d-f884-4bdb-a84f-a79980645de2,farmer.pavitra.40@agrilink.in,+919812059919,Pavitra Pujari (Farmer),True
606e100f-e4a4-4a00-9100-028603b996bc,11111111-1111-1111-1111-111111111111,fcf5e81c-8baf-4ced-957b-e874d3a1f9be,farmer.vinay.41@agrilink.in,+919893652460,Vinay Murthy (Farmer),True
